placa,hora_ingreso,hora_salida,peso_deposito,razon_social,municipio,tipo_residuo,tiempo_operacion_min
ODT904,2021-10-12 22:08:53,2021-10-12 22:41:16,3470,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.38333333333333
ODT904,2021-10-15 14:16:33,2021-10-15 14:51:14,6160,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,34.68333333333333
ODT904,2021-10-19 21:35:17,2021-10-19 23:22:43,6810,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,107.43333333333334
ODT904,2021-10-23 10:42:05,2021-10-23 11:17:50,5970,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,35.75
ODT904,2021-10-27 09:52:53,2021-10-27 10:18:54,3320,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.016666666666666
ODT904,2021-10-29 14:00:21,2021-10-29 14:40:58,5630,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,40.61666666666667
ODT844,2021-10-29 21:35:47,2021-10-29 22:15:40,2710,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,39.88333333333333
ODT904,2021-11-03 06:35:28,2021-11-03 07:03:30,6260,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.033333333333335
ODT904,2021-11-05 14:35:13,2021-11-05 15:02:47,5800,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.566666666666666
ODT904,2021-11-09 13:59:36,2021-11-09 14:57:11,3340,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,57.583333333333336
ODT904,2021-11-12 13:44:15,2021-11-12 14:14:55,6450,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.666666666666668
ODT904,2021-11-16 14:14:57,2021-11-16 14:43:17,5010,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.333333333333332
ODT904,2021-11-17 13:42:26,2021-11-17 14:39:41,3530,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,57.25
ODT904,2021-11-19 14:03:55,2021-11-19 14:36:39,6160,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.733333333333334
ODT904,2021-11-24 09:04:21,2021-11-24 09:27:44,4810,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.383333333333333
ODT904,2021-11-26 13:42:49,2021-11-26 15:10:05,5870,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,87.26666666666667
ODT904,2021-12-01 09:18:24,2021-12-01 09:43:17,6650,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.883333333333333
ODT904,2021-12-03 17:32:02,2021-12-03 18:02:26,5600,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.4
ODT904,2021-12-07 14:26:45,2021-12-07 14:51:44,4950,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.983333333333334
ODT904,2021-12-09 21:21:00,2021-12-09 21:42:23,2650,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,21.383333333333333
ODT904,2021-12-13 11:39:02,2021-12-13 12:11:16,3630,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.233333333333334
ODT904,2021-12-14 13:55:19,2021-12-14 14:26:25,3280,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,31.1
ODT904,2021-12-15 14:40:39,2021-12-15 15:21:53,3260,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,41.233333333333334
ODT904,2021-12-18 10:52:05,2021-12-18 11:20:00,5650,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.916666666666668
ODT904,2021-12-21 14:32:41,2021-12-21 15:09:10,3850,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,36.483333333333334
ODT904,2021-12-24 13:55:36,2021-12-24 14:23:55,5840,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.316666666666666
ODT904,2021-12-28 15:02:38,2021-12-28 15:29:35,4930,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.95
ODT904,2021-12-29 20:17:33,2021-12-29 20:41:53,4930,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.333333333333332
ODT904,2022-01-03 11:19:12,2022-01-03 11:49:40,6980,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.466666666666665
ODT904,2022-01-05 08:21:41,2022-01-05 08:44:12,5050,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.516666666666666
ODT904,2022-01-06 21:24:09,2022-01-06 22:04:34,4370,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,40.416666666666664
ODT904,2022-01-07 13:57:03,2022-01-07 14:35:33,4030,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,38.5
ODT904,2022-01-11 14:10:47,2022-01-11 14:35:03,4410,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.266666666666666
ODT904,2022-01-12 15:06:18,2022-01-12 15:32:43,3750,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.416666666666668
ODT904,2022-01-14 13:52:13,2022-01-14 14:24:40,6350,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.45
ODT904,2022-01-18 13:15:46,2022-01-18 13:46:11,4270,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.416666666666668
ODT904,2022-01-21 15:30:07,2022-01-21 15:51:24,5700,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,21.283333333333335
ODT904,2022-01-25 16:18:13,2022-01-25 16:48:56,5730,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.716666666666665
ODT904,2022-01-28 14:32:51,2022-01-28 15:01:27,5470,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.6
ODT904,2022-02-01 12:28:55,2022-02-01 13:08:37,3490,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,39.7
ODT904,2022-02-03 20:54:14,2022-02-03 21:16:23,3070,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.15
ODT904,2022-02-07 10:48:28,2022-02-07 11:11:48,3460,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.333333333333332
ODT904,2022-02-09 09:56:28,2022-02-09 10:20:17,5450,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.816666666666666
ODT904,2022-02-11 14:59:47,2022-02-11 15:22:54,5800,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.116666666666667
ODT904,2022-02-16 09:44:39,2022-02-16 10:10:55,4790,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.266666666666666
